CM,TRI,CY,FAM,WOM,PR,SR,FR,TR,PU,PEOU,ITU,PUFR,PUSR,PUPR,PEOUFR,PEOUSR,PEOUPR
2.33 ,3.50 ,3.00 ,2.00 ,1.00 ,3.00 ,2.50 ,4.33 ,4.00 ,3.00 ,3.00 ,3.00 ,13.00 ,7.50 ,9.00 ,13.00 ,7.50 ,9.00 
5.00 ,4.25 ,3.75 ,4.00 ,4.00 ,5.00 ,4.75 ,5.00 ,5.00 ,4.25 ,4.00 ,4.75 ,20.00 ,20.19 ,21.25 ,20.00 ,19.00 ,20.00 
5.00 ,5.00 ,5.00 ,4.00 ,4.00 ,3.67 ,3.00 ,2.67 ,5.00 ,5.00 ,5.00 ,5.00 ,13.33 ,15.00 ,18.33 ,13.33 ,15.00 ,18.33 
3.67 ,4.00 ,4.00 ,3.50 ,4.00 ,4.67 ,3.75 ,3.00 ,4.00 ,3.75 ,3.75 ,4.00 ,11.25 ,14.06 ,17.50 ,11.25 ,14.06 ,17.50 
5.00 ,5.00 ,5.00 ,4.00 ,3.33 ,5.00 ,5.00 ,1.00 ,5.00 ,5.00 ,4.00 ,5.00 ,4.00 ,25.00 ,25.00 ,4.00 ,20.00 ,20.00 
4.33 ,4.25 ,3.00 ,3.00 ,4.00 ,4.33 ,3.25 ,4.33 ,3.00 ,4.00 ,3.50 ,4.00 ,15.17 ,13.00 ,17.33 ,15.17 ,11.38 ,15.17 
4.00 ,3.75 ,4.00 ,4.00 ,2.67 ,4.00 ,3.75 ,3.67 ,3.25 ,4.00 ,4.00 ,4.00 ,14.67 ,15.00 ,16.00 ,14.67 ,15.00 ,16.00 
5.00 ,5.00 ,5.00 ,5.00 ,2.33 ,3.67 ,4.75 ,2.00 ,4.00 ,5.00 ,5.00 ,5.00 ,10.00 ,23.75 ,18.33 ,10.00 ,23.75 ,18.33 
5.00 ,5.00 ,5.00 ,5.00 ,3.00 ,4.67 ,5.00 ,1.67 ,5.00 ,5.00 ,5.00 ,5.00 ,8.33 ,25.00 ,23.33 ,8.33 ,25.00 ,23.33 
4.00 ,4.00 ,3.50 ,3.50 ,4.00 ,4.33 ,2.75 ,4.00 ,3.75 ,4.00 ,3.75 ,4.00 ,15.00 ,11.00 ,17.33 ,15.00 ,10.31 ,16.25 
3.33 ,3.75 ,3.75 ,2.00 ,4.67 ,4.67 ,3.50 ,4.67 ,1.75 ,3.50 ,3.00 ,4.75 ,14.00 ,12.25 ,16.33 ,14.00 ,10.50 ,14.00 
4.00 ,4.00 ,4.00 ,3.50 ,3.67 ,4.33 ,3.00 ,4.33 ,3.00 ,3.75 ,4.00 ,4.00 ,17.33 ,11.25 ,16.25 ,17.33 ,12.00 ,17.33 
4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,3.33 ,4.00 ,3.00 ,4.00 ,3.75 ,4.00 ,4.00 ,12.00 ,15.00 ,12.50 ,12.00 ,16.00 ,13.33 
4.00 ,4.00 ,3.75 ,4.00 ,3.67 ,5.00 ,4.00 ,2.00 ,3.75 ,4.00 ,4.00 ,5.00 ,8.00 ,16.00 ,20.00 ,8.00 ,16.00 ,20.00 
3.33 ,4.00 ,3.75 ,4.00 ,4.00 ,4.67 ,4.00 ,3.33 ,4.00 ,4.00 ,4.00 ,4.00 ,13.33 ,16.00 ,18.67 ,13.33 ,16.00 ,18.67 
4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,3.33 ,4.00 ,2.67 ,4.00 ,4.00 ,4.00 ,4.00 ,10.67 ,16.00 ,13.33 ,10.67 ,16.00 ,13.33 
4.33 ,4.00 ,3.75 ,4.00 ,4.00 ,5.00 ,4.25 ,3.67 ,4.00 ,4.00 ,4.00 ,4.00 ,14.67 ,17.00 ,20.00 ,14.67 ,17.00 ,20.00 
5.00 ,5.00 ,4.75 ,4.00 ,4.33 ,5.00 ,5.00 ,2.00 ,4.00 ,4.00 ,5.00 ,5.00 ,10.00 ,20.00 ,20.00 ,10.00 ,25.00 ,25.00 
4.00 ,4.00 ,4.00 ,3.00 ,3.00 ,3.33 ,3.50 ,3.00 ,4.00 ,4.00 ,3.50 ,4.00 ,10.50 ,14.00 ,13.33 ,10.50 ,12.25 ,11.67 
4.00 ,4.25 ,3.75 ,3.00 ,3.00 ,5.00 ,3.00 ,5.00 ,3.00 ,3.50 ,3.00 ,4.00 ,15.00 ,10.50 ,17.50 ,15.00 ,9.00 ,15.00 
5.00 ,4.75 ,5.00 ,3.50 ,4.33 ,5.00 ,4.75 ,2.33 ,3.75 ,5.00 ,5.00 ,5.00 ,11.67 ,23.75 ,25.00 ,11.67 ,23.75 ,25.00 
3.67 ,3.50 ,3.00 ,3.00 ,4.00 ,3.67 ,3.25 ,4.00 ,3.00 ,3.50 ,3.50 ,4.00 ,14.00 ,11.38 ,12.83 ,14.00 ,11.38 ,12.83 
3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.25 ,5.00 ,3.00 ,3.00 ,3.00 ,3.00 ,15.00 ,9.75 ,9.00 ,15.00 ,9.75 ,9.00 
4.67 ,4.00 ,4.25 ,4.00 ,3.00 ,3.67 ,4.25 ,2.67 ,3.50 ,4.50 ,4.50 ,4.00 ,12.00 ,19.13 ,16.50 ,12.00 ,19.13 ,16.50 
4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,2.00 ,4.00 ,4.75 ,4.00 ,5.00 ,8.00 ,19.00 ,19.00 ,8.00 ,16.00 ,16.00 
4.00 ,4.00 ,4.00 ,2.50 ,2.67 ,4.33 ,3.00 ,4.00 ,2.75 ,3.75 ,4.00 ,4.00 ,16.00 ,11.25 ,16.25 ,16.00 ,12.00 ,17.33 
2.00 ,2.00 ,2.75 ,2.00 ,3.00 ,4.00 ,2.00 ,4.00 ,2.00 ,2.25 ,2.00 ,2.00 ,8.00 ,4.50 ,9.00 ,8.00 ,4.00 ,8.00 
3.00 ,3.00 ,2.75 ,3.00 ,3.00 ,4.33 ,3.00 ,4.00 ,3.00 ,3.00 ,2.50 ,2.75 ,10.00 ,9.00 ,13.00 ,10.00 ,7.50 ,10.83 
2.33 ,2.75 ,2.75 ,1.00 ,3.00 ,4.00 ,1.00 ,5.00 ,1.00 ,2.00 ,1.75 ,3.00 ,8.75 ,2.00 ,8.00 ,8.75 ,1.75 ,7.00 
2.67 ,3.00 ,3.50 ,2.50 ,3.00 ,5.00 ,4.00 ,3.33 ,3.25 ,2.75 ,2.75 ,3.00 ,9.17 ,11.00 ,13.75 ,9.17 ,11.00 ,13.75 
3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,9.00 ,9.00 ,9.00 ,9.00 ,9.00 ,9.00 
2.67 ,3.50 ,3.00 ,1.00 ,2.33 ,5.00 ,1.50 ,4.00 ,2.75 ,3.00 ,2.25 ,3.00 ,9.00 ,4.50 ,15.00 ,9.00 ,3.38 ,11.25 
3.67 ,4.25 ,4.00 ,3.00 ,3.00 ,4.00 ,4.25 ,3.33 ,4.00 ,4.75 ,4.00 ,4.50 ,13.33 ,20.19 ,19.00 ,13.33 ,17.00 ,16.00 
3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,4.00 ,2.50 ,3.67 ,3.00 ,3.00 ,3.00 ,3.00 ,11.00 ,7.50 ,12.00 ,11.00 ,7.50 ,12.00 
3.67 ,3.25 ,3.25 ,3.50 ,3.33 ,5.00 ,3.50 ,4.33 ,3.25 ,2.75 ,3.25 ,4.00 ,14.08 ,9.63 ,13.75 ,14.08 ,11.38 ,16.25 
5.00 ,5.00 ,3.25 ,5.00 ,4.33 ,5.00 ,5.00 ,2.67 ,5.00 ,5.00 ,5.00 ,5.00 ,13.33 ,25.00 ,25.00 ,13.33 ,25.00 ,25.00 
5.00 ,5.00 ,3.75 ,3.00 ,5.00 ,4.00 ,4.00 ,3.33 ,4.00 ,4.00 ,4.00 ,4.00 ,13.33 ,16.00 ,16.00 ,13.33 ,16.00 ,16.00 
4.00 ,3.75 ,4.00 ,4.00 ,3.33 ,3.67 ,3.75 ,3.33 ,3.50 ,4.00 ,4.00 ,4.00 ,13.33 ,15.00 ,14.67 ,13.33 ,15.00 ,14.67 
5.00 ,4.50 ,4.00 ,4.00 ,4.00 ,5.00 ,4.00 ,3.00 ,4.00 ,5.00 ,4.25 ,5.00 ,12.75 ,20.00 ,25.00 ,12.75 ,17.00 ,21.25 
5.00 ,4.50 ,5.00 ,5.00 ,4.33 ,5.00 ,4.00 ,2.33 ,4.00 ,4.25 ,5.00 ,5.00 ,11.67 ,17.00 ,21.25 ,11.67 ,20.00 ,25.00 
5.00 ,5.00 ,5.00 ,5.00 ,4.33 ,5.00 ,4.50 ,2.33 ,4.50 ,5.00 ,5.00 ,5.00 ,11.67 ,22.50 ,25.00 ,11.67 ,22.50 ,25.00 
4.00 ,4.00 ,4.00 ,3.00 ,4.00 ,5.00 ,4.00 ,2.67 ,4.00 ,4.00 ,3.50 ,4.00 ,9.33 ,16.00 ,20.00 ,9.33 ,14.00 ,17.50 
4.00 ,4.00 ,4.00 ,4.00 ,3.00 ,4.00 ,3.75 ,4.00 ,4.00 ,4.00 ,3.75 ,4.00 ,15.00 ,15.00 ,16.00 ,15.00 ,14.06 ,15.00 
3.33 ,5.00 ,3.25 ,4.00 ,4.00 ,3.67 ,3.25 ,4.00 ,4.00 ,3.75 ,3.75 ,4.50 ,15.00 ,12.19 ,13.75 ,15.00 ,12.19 ,13.75 
4.00 ,4.00 ,4.00 ,4.00 ,3.33 ,3.67 ,3.75 ,3.67 ,4.00 ,3.75 ,3.75 ,4.00 ,13.75 ,14.06 ,13.75 ,13.75 ,14.06 ,13.75 
4.00 ,4.00 ,4.00 ,3.50 ,4.00 ,4.67 ,4.25 ,2.33 ,3.75 ,4.00 ,4.00 ,4.00 ,9.33 ,17.00 ,18.67 ,9.33 ,17.00 ,18.67 
4.67 ,4.50 ,4.75 ,3.50 ,3.33 ,3.67 ,4.00 ,2.67 ,4.00 ,4.50 ,4.00 ,5.00 ,10.67 ,18.00 ,16.50 ,10.67 ,16.00 ,14.67 
3.67 ,4.00 ,3.25 ,3.00 ,4.00 ,3.67 ,3.50 ,4.33 ,3.00 ,3.00 ,3.00 ,3.50 ,13.00 ,10.50 ,11.00 ,13.00 ,10.50 ,11.00 
2.00 ,2.50 ,2.75 ,1.00 ,2.00 ,4.00 ,2.50 ,4.33 ,3.25 ,3.00 ,1.50 ,2.50 ,6.50 ,7.50 ,12.00 ,6.50 ,3.75 ,6.00 
4.00 ,4.00 ,2.75 ,3.00 ,4.00 ,3.67 ,3.75 ,4.67 ,3.00 ,3.75 ,3.00 ,4.00 ,14.00 ,14.06 ,13.75 ,14.00 ,11.25 ,11.00 
3.67 ,3.25 ,3.50 ,2.50 ,3.67 ,5.00 ,2.75 ,3.67 ,2.75 ,3.50 ,3.00 ,3.00 ,11.00 ,9.63 ,17.50 ,11.00 ,8.25 ,15.00 
5.00 ,5.00 ,5.00 ,5.00 ,2.33 ,5.00 ,4.75 ,2.00 ,4.00 ,3.75 ,4.00 ,4.00 ,8.00 ,17.81 ,18.75 ,8.00 ,19.00 ,20.00 
5.00 ,5.00 ,5.00 ,4.50 ,4.33 ,3.67 ,5.00 ,2.33 ,4.50 ,5.00 ,5.00 ,5.00 ,11.67 ,25.00 ,18.33 ,11.67 ,25.00 ,18.33 
5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,3.33 ,5.00 ,1.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,25.00 ,16.67 ,5.00 ,25.00 ,16.67 
4.33 ,4.00 ,4.00 ,4.00 ,4.00 ,5.00 ,4.00 ,2.33 ,3.75 ,4.00 ,4.00 ,4.00 ,9.33 ,16.00 ,20.00 ,9.33 ,16.00 ,20.00 
5.00 ,4.75 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,1.00 ,5.00 ,5.00 ,5.00 ,20.00 ,25.00 ,25.00 ,20.00 ,25.00 ,25.00 
4.00 ,4.00 ,3.25 ,3.00 ,3.33 ,3.67 ,3.00 ,3.33 ,3.00 ,3.25 ,3.00 ,4.00 ,10.00 ,9.75 ,11.92 ,10.00 ,9.00 ,11.00 
5.00 ,5.00 ,5.00 ,5.00 ,3.67 ,5.00 ,5.00 ,2.33 ,5.00 ,5.00 ,5.00 ,5.00 ,11.67 ,25.00 ,25.00 ,11.67 ,25.00 ,25.00 
5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,5.00 ,4.75 ,4.00 ,4.75 ,5.00 ,5.00 ,5.00 ,20.00 ,23.75 ,25.00 ,20.00 ,23.75 ,25.00 
4.33 ,4.25 ,4.00 ,4.00 ,4.33 ,5.00 ,5.00 ,3.67 ,3.25 ,4.00 ,4.00 ,4.00 ,14.67 ,20.00 ,20.00 ,14.67 ,20.00 ,20.00 
3.00 ,3.00 ,3.00 ,3.50 ,4.00 ,5.00 ,4.00 ,4.00 ,4.00 ,3.00 ,2.75 ,3.00 ,11.00 ,12.00 ,15.00 ,11.00 ,11.00 ,13.75 
4.00 ,4.00 ,4.00 ,3.00 ,3.33 ,3.67 ,3.25 ,2.00 ,3.00 ,3.25 ,3.50 ,4.00 ,7.00 ,10.56 ,11.92 ,7.00 ,11.38 ,12.83 
4.00 ,4.00 ,2.75 ,3.50 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,3.75 ,4.00 ,15.00 ,16.00 ,16.00 ,15.00 ,15.00 ,15.00 
5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,3.00 ,5.00 ,5.00 ,5.00 ,5.00 ,15.00 ,25.00 ,25.00 ,15.00 ,25.00 ,25.00 
5.00 ,5.00 ,3.50 ,3.00 ,3.00 ,4.33 ,3.00 ,3.67 ,3.00 ,4.00 ,3.25 ,4.00 ,11.92 ,12.00 ,17.33 ,11.92 ,9.75 ,14.08 
4.00 ,4.50 ,4.75 ,3.00 ,4.33 ,4.67 ,4.00 ,3.67 ,4.00 ,4.50 ,4.25 ,5.00 ,15.58 ,18.00 ,21.00 ,15.58 ,17.00 ,19.83 
3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,9.00 ,9.00 ,9.00 ,9.00 ,9.00 ,9.00 
4.33 ,3.25 ,3.00 ,4.00 ,2.00 ,4.00 ,3.50 ,4.67 ,2.75 ,3.50 ,4.00 ,4.00 ,18.67 ,12.25 ,14.00 ,18.67 ,14.00 ,16.00 
4.00 ,4.25 ,3.75 ,3.50 ,5.00 ,5.00 ,5.00 ,4.67 ,5.00 ,4.75 ,3.75 ,4.25 ,17.50 ,23.75 ,23.75 ,17.50 ,18.75 ,18.75 
5.00 ,5.00 ,4.00 ,5.00 ,4.00 ,4.33 ,4.00 ,2.33 ,4.25 ,5.00 ,5.00 ,5.00 ,11.67 ,20.00 ,21.67 ,11.67 ,20.00 ,21.67 
3.67 ,5.00 ,4.00 ,3.00 ,3.00 ,5.00 ,4.50 ,4.33 ,4.50 ,5.00 ,5.00 ,5.00 ,21.67 ,22.50 ,25.00 ,21.67 ,22.50 ,25.00 
4.00 ,4.00 ,4.00 ,3.50 ,3.67 ,4.00 ,4.00 ,2.00 ,4.00 ,4.00 ,4.00 ,4.00 ,8.00 ,16.00 ,16.00 ,8.00 ,16.00 ,16.00 
5.00 ,5.00 ,4.00 ,4.00 ,4.00 ,5.00 ,3.00 ,4.00 ,2.25 ,5.00 ,4.50 ,5.00 ,18.00 ,15.00 ,25.00 ,18.00 ,13.50 ,22.50 
4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,2.33 ,3.75 ,4.00 ,4.00 ,4.00 ,9.33 ,16.00 ,16.00 ,9.33 ,16.00 ,16.00 
5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,3.67 ,5.00 ,1.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,25.00 ,18.33 ,5.00 ,25.00 ,18.33 
4.00 ,4.25 ,4.00 ,3.50 ,4.00 ,3.67 ,4.25 ,2.33 ,4.00 ,4.50 ,4.00 ,5.00 ,9.33 ,19.13 ,16.50 ,9.33 ,17.00 ,14.67 
3.00 ,3.00 ,2.50 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,9.00 ,9.00 ,9.00 ,9.00 ,9.00 ,9.00 
5.00 ,5.00 ,3.75 ,5.00 ,4.00 ,5.00 ,4.75 ,2.67 ,3.75 ,5.00 ,5.00 ,4.75 ,13.33 ,23.75 ,25.00 ,13.33 ,23.75 ,25.00 
4.00 ,4.00 ,3.00 ,3.00 ,3.67 ,4.67 ,3.50 ,4.67 ,2.75 ,3.75 ,3.00 ,2.75 ,14.00 ,13.13 ,17.50 ,14.00 ,10.50 ,14.00 
3.00 ,3.50 ,2.00 ,3.50 ,4.00 ,3.33 ,3.75 ,2.67 ,3.75 ,3.50 ,3.00 ,4.00 ,8.00 ,13.13 ,11.67 ,8.00 ,11.25 ,10.00 
5.00 ,5.00 ,3.75 ,5.00 ,4.33 ,3.00 ,3.75 ,3.67 ,3.75 ,4.00 ,4.50 ,5.00 ,16.50 ,15.00 ,12.00 ,16.50 ,16.88 ,13.50 
3.00 ,4.00 ,5.00 ,4.50 ,4.00 ,3.67 ,4.25 ,3.67 ,3.75 ,4.00 ,4.50 ,4.25 ,16.50 ,17.00 ,14.67 ,16.50 ,19.13 ,16.50 
5.00 ,5.00 ,4.50 ,4.00 ,4.33 ,5.00 ,4.50 ,4.33 ,3.00 ,4.50 ,4.00 ,5.00 ,17.33 ,20.25 ,22.50 ,17.33 ,18.00 ,20.00 
3.67 ,4.50 ,4.00 ,3.50 ,3.67 ,3.67 ,3.75 ,3.33 ,3.75 ,4.75 ,4.00 ,4.00 ,13.33 ,17.81 ,17.42 ,13.33 ,15.00 ,14.67 
4.00 ,4.00 ,3.75 ,3.50 ,3.67 ,4.67 ,4.25 ,3.00 ,4.00 ,4.00 ,4.00 ,4.75 ,12.00 ,17.00 ,18.67 ,12.00 ,17.00 ,18.67 
5.00 ,4.75 ,3.75 ,4.00 ,3.00 ,5.00 ,5.00 ,2.33 ,4.00 ,4.25 ,4.50 ,5.00 ,10.50 ,21.25 ,21.25 ,10.50 ,22.50 ,22.50 
3.67 ,4.00 ,3.50 ,4.00 ,3.33 ,5.00 ,4.50 ,4.33 ,4.75 ,3.75 ,4.00 ,4.00 ,17.33 ,16.88 ,18.75 ,17.33 ,18.00 ,20.00 
5.00 ,5.00 ,1.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,25.00 ,25.00 ,25.00 ,25.00 ,25.00 ,25.00 
5.00 ,5.00 ,3.50 ,5.00 ,5.00 ,5.00 ,5.00 ,4.33 ,5.00 ,5.00 ,5.00 ,5.00 ,21.67 ,25.00 ,25.00 ,21.67 ,25.00 ,25.00 
5.00 ,5.00 ,4.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,9.00 ,9.00 ,9.00 ,9.00 ,9.00 ,9.00 
4.00 ,3.75 ,3.25 ,3.00 ,3.67 ,4.67 ,4.00 ,4.00 ,3.75 ,3.75 ,3.25 ,4.00 ,13.00 ,15.00 ,17.50 ,13.00 ,13.00 ,15.17 
3.33 ,3.75 ,3.00 ,3.00 ,4.00 ,5.00 ,4.50 ,4.67 ,3.00 ,3.25 ,3.75 ,4.00 ,17.50 ,14.63 ,16.25 ,17.50 ,16.88 ,18.75 
3.33 ,4.00 ,3.25 ,2.00 ,3.00 ,4.67 ,3.50 ,3.67 ,3.75 ,3.00 ,2.25 ,3.25 ,8.25 ,10.50 ,14.00 ,8.25 ,7.88 ,10.50 
3.00 ,3.00 ,3.25 ,3.00 ,3.67 ,5.00 ,2.75 ,4.67 ,2.50 ,2.75 ,2.75 ,4.00 ,12.83 ,7.56 ,13.75 ,12.83 ,7.56 ,13.75 
4.00 ,4.25 ,4.00 ,4.00 ,3.67 ,3.67 ,3.50 ,4.00 ,3.00 ,3.50 ,4.00 ,3.50 ,16.00 ,12.25 ,12.83 ,16.00 ,14.00 ,14.67 
5.00 ,2.75 ,4.25 ,3.00 ,4.33 ,3.33 ,3.50 ,4.33 ,2.75 ,3.75 ,3.75 ,5.00 ,16.25 ,13.13 ,12.50 ,16.25 ,13.13 ,12.50 
3.67 ,4.00 ,3.25 ,3.50 ,2.67 ,5.00 ,3.75 ,4.67 ,2.50 ,4.00 ,4.00 ,4.50 ,18.67 ,15.00 ,20.00 ,18.67 ,15.00 ,20.00 
3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,9.00 ,9.00 ,9.00 ,9.00 ,9.00 ,9.00 
5.00 ,3.75 ,4.00 ,4.00 ,3.67 ,5.00 ,4.25 ,4.00 ,2.75 ,5.00 ,5.00 ,5.00 ,20.00 ,21.25 ,25.00 ,20.00 ,21.25 ,25.00 
3.33 ,3.50 ,4.00 ,3.50 ,2.00 ,4.33 ,2.75 ,3.33 ,3.00 ,3.50 ,3.50 ,3.75 ,11.67 ,9.63 ,15.17 ,11.67 ,9.63 ,15.17 
3.00 ,3.00 ,3.00 ,3.00 ,2.67 ,3.67 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,9.00 ,9.00 ,11.00 ,9.00 ,9.00 ,11.00 
5.00 ,5.00 ,5.00 ,5.00 ,3.33 ,3.67 ,5.00 ,2.00 ,4.50 ,4.50 ,5.00 ,5.00 ,10.00 ,22.50 ,16.50 ,10.00 ,25.00 ,18.33 
5.00 ,4.75 ,5.00 ,4.00 ,3.33 ,3.67 ,4.25 ,3.33 ,3.25 ,5.00 ,5.00 ,5.00 ,16.67 ,21.25 ,18.33 ,16.67 ,21.25 ,18.33 
4.00 ,5.00 ,4.00 ,3.50 ,5.00 ,5.00 ,4.00 ,4.33 ,3.75 ,4.75 ,3.50 ,4.50 ,15.17 ,19.00 ,23.75 ,15.17 ,14.00 ,17.50 
3.67 ,4.25 ,4.75 ,5.00 ,4.00 ,5.00 ,4.00 ,2.00 ,4.25 ,4.50 ,5.00 ,5.00 ,10.00 ,18.00 ,22.50 ,10.00 ,20.00 ,25.00 
3.00 ,4.00 ,3.00 ,3.00 ,3.33 ,4.00 ,3.00 ,4.00 ,4.25 ,3.50 ,3.25 ,3.00 ,13.00 ,10.50 ,14.00 ,13.00 ,9.75 ,13.00 
5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,3.67 ,5.00 ,1.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,25.00 ,18.33 ,5.00 ,25.00 ,18.33 
5.00 ,4.75 ,4.50 ,4.50 ,5.00 ,3.67 ,4.75 ,2.00 ,4.25 ,4.50 ,4.25 ,5.00 ,8.50 ,21.38 ,16.50 ,8.50 ,20.19 ,15.58 
4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,2.33 ,4.00 ,4.00 ,4.00 ,4.00 ,9.33 ,16.00 ,16.00 ,9.33 ,16.00 ,16.00 
4.33 ,5.00 ,4.25 ,4.00 ,3.33 ,3.67 ,4.00 ,3.67 ,4.25 ,4.50 ,3.25 ,5.00 ,11.92 ,18.00 ,16.50 ,11.92 ,13.00 ,11.92 
4.00 ,4.00 ,4.00 ,4.00 ,3.67 ,3.00 ,3.75 ,2.33 ,4.00 ,4.00 ,4.00 ,4.00 ,9.33 ,15.00 ,12.00 ,9.33 ,15.00 ,12.00 
5.00 ,5.00 ,5.00 ,4.00 ,4.00 ,5.00 ,4.75 ,2.67 ,4.00 ,4.00 ,4.00 ,4.00 ,10.67 ,19.00 ,20.00 ,10.67 ,19.00 ,20.00 
4.00 ,4.00 ,4.75 ,4.00 ,4.00 ,5.00 ,4.25 ,4.00 ,4.00 ,4.00 ,4.00 ,4.25 ,16.00 ,17.00 ,20.00 ,16.00 ,17.00 ,20.00 
1.00 ,1.00 ,2.50 ,1.50 ,1.00 ,3.00 ,2.50 ,4.00 ,2.00 ,2.25 ,1.25 ,1.00 ,5.00 ,5.63 ,6.75 ,5.00 ,3.13 ,3.75 
3.67 ,3.25 ,3.75 ,3.00 ,4.00 ,5.00 ,3.75 ,4.33 ,4.25 ,4.50 ,4.25 ,4.00 ,18.42 ,16.88 ,22.50 ,18.42 ,15.94 ,21.25 
4.00 ,3.75 ,3.50 ,3.00 ,4.00 ,4.00 ,3.50 ,3.33 ,3.00 ,3.75 ,3.00 ,3.00 ,10.00 ,13.13 ,15.00 ,10.00 ,10.50 ,12.00 
2.67 ,3.25 ,2.25 ,4.00 ,3.33 ,5.00 ,4.00 ,5.00 ,3.00 ,2.75 ,2.75 ,2.00 ,13.75 ,11.00 ,13.75 ,13.75 ,11.00 ,13.75 
4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,5.00 ,4.00 ,3.33 ,4.75 ,5.00 ,4.50 ,4.00 ,15.00 ,20.00 ,25.00 ,15.00 ,18.00 ,22.50 
5.00 ,5.00 ,4.75 ,4.00 ,4.33 ,3.67 ,4.75 ,2.33 ,4.50 ,5.00 ,4.25 ,4.00 ,9.92 ,23.75 ,18.33 ,9.92 ,20.19 ,15.58 
4.00 ,4.00 ,4.00 ,3.50 ,4.00 ,4.00 ,4.00 ,2.00 ,4.00 ,4.00 ,3.75 ,4.00 ,7.50 ,16.00 ,16.00 ,7.50 ,15.00 ,15.00 
4.00 ,4.00 ,4.00 ,5.00 ,2.33 ,3.00 ,4.00 ,3.33 ,3.00 ,4.00 ,5.00 ,5.00 ,16.67 ,16.00 ,12.00 ,16.67 ,20.00 ,15.00 
3.67 ,4.00 ,3.50 ,2.00 ,1.67 ,3.67 ,3.00 ,4.00 ,3.00 ,3.25 ,2.75 ,3.75 ,11.00 ,9.75 ,11.92 ,11.00 ,8.25 ,10.08 
4.00 ,4.00 ,5.00 ,4.00 ,4.00 ,4.00 ,4.00 ,3.00 ,4.00 ,4.00 ,4.00 ,4.00 ,12.00 ,16.00 ,16.00 ,12.00 ,16.00 ,16.00 
5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,3.00 ,4.75 ,5.00 ,5.00 ,5.00 ,15.00 ,25.00 ,25.00 ,15.00 ,25.00 ,25.00 
3.67 ,3.75 ,3.25 ,4.00 ,3.67 ,5.00 ,4.00 ,4.67 ,4.00 ,4.00 ,4.00 ,4.00 ,18.67 ,16.00 ,20.00 ,18.67 ,16.00 ,20.00 
2.00 ,3.00 ,3.00 ,2.00 ,3.33 ,3.00 ,3.00 ,4.00 ,2.50 ,3.25 ,2.25 ,2.75 ,9.00 ,9.75 ,9.75 ,9.00 ,6.75 ,6.75 
3.33 ,4.50 ,3.75 ,3.50 ,4.00 ,4.67 ,3.50 ,4.00 ,3.00 ,4.00 ,3.75 ,4.00 ,15.00 ,14.00 ,18.67 ,15.00 ,13.13 ,17.50 
4.67 ,4.00 ,4.00 ,4.00 ,4.00 ,4.67 ,4.00 ,2.67 ,4.75 ,3.75 ,4.00 ,4.00 ,10.67 ,15.00 ,17.50 ,10.67 ,16.00 ,18.67 
5.00 ,5.00 ,1.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,25.00 ,25.00 ,25.00 ,25.00 ,25.00 ,25.00 
5.00 ,5.00 ,4.50 ,5.00 ,3.67 ,5.00 ,4.25 ,3.00 ,4.00 ,5.00 ,5.00 ,5.00 ,15.00 ,21.25 ,25.00 ,15.00 ,21.25 ,25.00 
